Frequency [ppm],Intensity [abs],Width [Hz],Lineshape Parameter,Lineshape,Area [abs*Hz]
0.7356716359714494,66273.42194015779,0.37094068070788394,0.9974875006296793,PVOIGT,52399.21542399073
0.7758345418934541,21861.05274943789,0.210698923266055,0.9974875006296793,PVOIGT,9817.802983461708
0.7813718153784482,24270.237090730458,0.2606037331924477,0.9974875006296793,PVOIGT,13481.418046370629
0.7872974481823547,32786.76497619699,0.2268949673440847,0.9974875006296793,PVOIGT,15856.39131129814
0.7904365060063977,18870.018334838715,1.0867120287825154,0.9974875006296793,PVOIGT,43708.682992975344
0.7931557638245121,24558.795195858733,0.1658576147763359,0.9974875006296793,PVOIGT,8682.07228112215
0.796806313493021,68034.41762998556,0.8222928726199971,0.9974875006296793,PVOIGT,119243.88633312251
0.8052601454989636,171278.95011483738,0.6366449428293133,0.1938620737133026,PVOIGT,321164.37553715525
0.8089972181587252,515065.70381340134,0.6246367417442286,0.13474833011524676,PVOIGT,966840.1242946218
0.8187372066109048,1084832.6712700492,0.5374957412135296,2.4666687513190152E-8,PVOIGT,1831840.484414226
0.8235421946299442,511100.7974906797,0.5650458004790125,0.07769398203372546,PVOIGT,884555.6878262612
0.8305246474479843,1494038.5193572836,0.5536384181923621,2.456361598749578E-8,PVOIGT,2598590.719072261
0.8378935482052599,713931.3707211403,0.6547478145928397,0.015268494668139756,PVOIGT,1461294.2644822083
0.8418184131488743,843030.4740701785,0.7318532028304845,0.7614195231298897,PVOIGT,1462559.5327778135
0.8492714080243994,53502.26578670229,0.2062253871723477,0.7906098262109897,PVOIGT,25829.205119706126
0.8500309686893105,1894885.833801706,0.8846872189821169,2.4507496902475666E-8,PVOIGT,5266507.067844414
0.8615366961708865,2110308.1460498706,0.9164711094502876,0.01795406431016752,PVOIGT,6040791.326316739
0.8731312604956462,1043328.728433955,0.6493722008578039,0.06846365712415764,PVOIGT,2081484.380809902
0.8774670117780621,786916.3950674112,0.4786449780936316,0.4949750012593587,PVOIGT,994498.0179102293
0.8865712659022036,1102624.8506668685,0.5589516019240504,0.09378214927358043,PVOIGT,1877676.4010827304
0.8930470735921228,170525.20133002437,0.37844897239528436,0.9974875006296793,PVOIGT,137555.1407531685
0.9002425531663762,460216.20729120396,0.5446562457139716,0.2726557619008151,PVOIGT,718261.5268410428
0.9730831390489535,115349.7825129021,0.9319436865010475,0.9974875006296793,PVOIGT,229132.85944112885
0.9850492653881447,221821.48597198658,0.6173140581978618,0.9417594106288381,PVOIGT,299598.477997945
0.9985896296013488,295498.20217801764,0.7305026697326618,0.4123425556208469,PVOIGT,588015.2674062961
1.0122639423573685,196400.1908588491,1.292020778522243,0.6164811787423238,PVOIGT,638774.6959370734
1.0286316983182866,78330.13788529934,1.4838525575023616,0.5232056149777082,PVOIGT,303566.3079674584
1.0458974845445588,56962.97075708758,4.004462114374134,2.456361598749578E-8,PVOIGT,716616.3113801291
1.1388676102150181,51636.52209056036,2.8329850243473818,0.4874375031483966,PVOIGT,387361.7738059136
1.157170660228164,43890.65983493816,0.7907252039912591,0.9974875006296793,PVOIGT,73973.91708653094
1.169795444436559,37165.84917499523,0.47407559133435445,0.9974875006296793,PVOIGT,37555.41624938553
1.1788745741990154,16795.038765900616,0.38363062219412886,0.9974875006296793,PVOIGT,13733.309294068851
1.3288871989388262,74910.77036832565,3.952367389284918,0.5657780874821243,PVOIGT,760513.5252733327
1.3853235939864417,18999.117155089603,0.19209513820778162,0.9974875006296793,PVOIGT,7779.124432932679
1.422283490540691,17469.198630225957,3.573484115375146,0.9974875006296793,PVOIGT,133059.46202020513
1.4477931755379685,100607.04286792359,2.539924413271826,0.42741755184277186,PVOIGT,692182.22031137
1.4635307719444117,188966.4696318532,0.9201460712603589,0.1199533674753977,PVOIGT,525128.810715554
1.4751565615297295,183893.27796568285,0.7589616943403228,0.1450783611786052,PVOIGT,417961.0530899272
1.4785093301892003,301510.7959322594,0.8510591651388987,0.9974875006296793,PVOIGT,546944.8589729586
1.4878115315127607,530681.8266139402,0.6570229860149799,0.15942021996466949,PVOIGT,1039090.9046184921
1.4925348472910114,593789.6803841665,0.5590598156747105,2.464560289848846E-8,PVOIGT,1042895.4959829302
1.4998646073502795,881680.2117273924,0.6767739456871072,0.0770678079082346,PVOIGT,1828014.32430645
1.5044451266531869,611538.1001065962,0.6731044029395178,0.5820393249936909,PVOIGT,1050553.5409155358
1.5122092512132956,1603882.796094022,0.5758835902776396,2.4548161192875077E-8,PVOIGT,2901731.349799059
1.5174472708416449,320757.08937800745,0.5700544011190593,0.07176277558551665,PVOIGT,561149.1909779942
1.5242595734562099,1482049.5214373106,0.46915512401725656,2.456361598749578E-8,PVOIGT,2184384.311339991
1.5316919134225058,267145.5185614958,0.9754738046265465,0.6014061825204,PVOIGT,659972.0798669017
1.5370866873599744,717157.7227476118,0.4437028408696366,0.016940893292238718,PVOIGT,994211.3215994504
