ID_594,ID_594,glucosamine-1-phosphate N-acetyltransferase,Acetyl-CoA + D-Glucosamine1-phosphate=>N-Acetyl-D-glucosamine1-phosphate + CoA,CD630_35150,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase ; Glucosamine-1-phosphate N-acetyltransferase,N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23) / Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)
ID_514,ID_514,N-acetylglucosamine-6-phosphate deacetylase,N-Acetyl-D-glucosamine 6-phosphate + H2O=>Acetate + D-Glucosamine phosphate,CD630_10100 or CD630_34530,N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase),N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
ID_548,ID_548,UDP-N-acetyl-D-glucosamine 2-epimerase (UDP-forming),H2O + UDP-N-acetylglucosamine=>N-Acetyl-D-mannosamine + UDP,CD630_10330,UDP-N-acetylglucosamine 2-epimerase (UDP-GlcNAc-2-epimerase),UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)
ID_301,ID_301,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Phosphoenolpyruvate + UDP-N-acetylglucosamine=>Phosphate + UDP-N-acetylglucosamine enolpyruvate,CD630_01230,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)
ID_176,ID_176,UDP-N-acetylmuramate:NAD+ oxidoreductase,NAD + N-Acetylmuramate=>H+ + NADH + UDP-N-acetylglucosamine enolpyruvate,CD630_34020,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)
ID_194,ID_194,N-acetylneuraminate pyruvate-lyase,N-ACETYLNEURAMINATE=>N-Acetyl-D-mannosamine + Pyruvate,CD630_22400,Acetylneuraminate lyase,N-acetylneuraminate lyase (EC 4.1.3.3)
ID_727,ID_727,N-acetyl-D-glucosamine 6-phosphate 2-epimerase,M-ama6p-c_c0=>N-Acetyl-D-glucosamine 6-phosphate,CD630_22410,N-acetylmannosamine-6-phosphate 2-epimerase (ManNAc-6-P epimerase),N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)
ID_223,ID_223,UDP-N-acetylmuramate dehydrogenase,H+ + NADPH + UDP-N-acetylglucosamine enolpyruvate=>NADP + N-Acetylmuramate,CD630_34020,UDP-N-acetylenolpyruvoylglucosamine reductase,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)
ID_121,ID_121,UDP-N-acetyl-D-glucosamine 2-epimerase,UDP-N-acetylglucosamine=>UDP-N-acetyl-D-mannosamine,CD630_10330,UDP-N-acetylglucosamine 2-epimerase (UDP-GlcNAc-2-epimerase),UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)
ID_602,ID_602,L-arginine carboxy-lyase,L-Arginine=>Agmatine + CO2,CD630_08880 or CD630_35510,putative arginine decarboxylase,Uncharacterized protein YaaO
ID_367,ID_367,allophanate hydrolase,H2O + Allophanate=>CO2 + NH3,CD630_13860 and CD630_13870,putative allophanate hydrolase subunit 1,Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)
